元件名,封装名称,数量,总数
0,0603-RES,1,0
0.1UF,0603,4,0
0.1uf,0603-CAP,2,0
10K,0603,1,0
10UF,1206,1,0
10nf,0603-CAP,1,0
10pf,0603,2,0
1M,0603,2,0
1UF,1206,1,0
1k,0603-ARC,2,0
500MA,L0805,1,0
AMS1117,SOT223,2,0
ATMEGA328P-AU,TQFP32-08,1,0
BLM21,0805,1,0
CRYSTAL-3.2-2.5,CRYSTAL-3.2-2.5,1,0
DIODE-SCHOTTKY-M7,SMA-DIODE,1,0
DIODE-SWITCHING6,0603-DIO,1,0
ESDALC6V1W5,SOT323-5L,1,0
FIDUCIAL,FIDUCIAL_1MM,2,0
FT232RLSSOP,SSOP28DB,1,0
RED,CHIPLED_0805,1,0
